2022-09-17 09:23:20.464 [main] INFO  com.snakeladder.App - Hello World!
2022-09-17 09:30:13.897 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:30:13.908 [main] INFO  com.snakeladder.App - 0
2022-09-17 09:31:48.539 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:31:48.543 [main] INFO  com.snakeladder.App - 0
2022-09-17 09:37:12.272 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:37:12.277 [main] INFO  com.snakeladder.App - 0
2022-09-17 09:37:33.979 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:37:33.988 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:45:10.251 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:45:10.254 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:45:10.256 [main] INFO  com.snakeladder.App - 6
2022-09-17 09:45:14.826 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:45:14.826 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:45:14.843 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:45:18.567 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:45:18.570 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:45:18.572 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:45:21.926 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:45:21.926 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:45:21.939 [main] INFO  com.snakeladder.App - 6
2022-09-17 09:45:25.010 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:45:25.014 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:45:25.015 [main] INFO  com.snakeladder.App - 6
2022-09-17 09:45:28.426 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:45:28.426 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:45:28.437 [main] INFO  com.snakeladder.App - 6
2022-09-17 09:45:31.567 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:45:31.570 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:45:31.571 [main] INFO  com.snakeladder.App - 6
2022-09-17 09:45:34.868 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:45:34.871 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
2022-09-17 09:45:34.872 [main] INFO  com.snakeladder.App - 1
2022-09-17 09:45:38.402 [main] INFO  com.snakeladder.App - Welcome Snake & Ladder Program!
2022-09-17 09:45:38.406 [main] INFO  com.snakeladder.App - Intitial Player position is : 0
